iter	Passed	Remaining
0	97	97465
1	98	49087
2	99	32941
3	99	24861
4	100	20011
5	101	16785
6	102	14479
7	102	12751
8	103	11405
9	104	10330
10	105	9449
11	105	8711
12	106	8085
13	107	7549
14	107	7084
15	108	6675
16	109	6315
17	109	5996
18	110	5710
19	111	5458
20	112	5227
21	112	5018
22	113	4822
23	114	4648
24	115	4485
25	115	4334
26	116	4194
27	117	4066
28	117	3947
29	118	3840
30	119	3732
31	120	3638
32	121	3545
33	121	3462
34	122	3378
35	123	3298
36	123	3227
37	124	3155
38	125	3088
39	125	3023
40	126	2963
41	127	2906
42	128	2850
43	128	2799
44	129	2749
45	130	2702
46	131	2656
47	131	2612
48	132	2569
49	133	2528
50	133	2490
51	134	2456
52	135	2423
53	136	2389
54	137	2355
55	137	2323
56	138	2293
57	139	2264
58	140	2233
59	140	2204
60	141	2178
61	142	2151
62	142	2126
63	143	2101
64	144	2076
65	145	2053
66	145	2029
67	146	2008
68	147	1987
69	147	1966
70	148	1945
71	149	1927
72	150	1909
73	151	1890
74	151	1873
75	152	1856
76	153	1839
77	154	1822
78	154	1806
79	155	1789
80	156	1773
81	157	1758
82	157	1740
83	158	1724
84	158	1709
85	159	1695
86	160	1681
87	160	1667
88	161	1653
89	162	1640
90	162	1627
91	163	1616
92	164	1609
93	165	1597
94	166	1586
95	167	1574
96	167	1562
97	168	1551
98	169	1540
99	169	1529
100	170	1519
101	171	1508
102	171	1497
103	172	1487
104	173	1477
105	174	1467
106	174	1459
107	175	1450
108	176	1441
109	177	1432
110	177	1423
111	178	1415
112	179	1406
113	179	1397
114	180	1389
115	181	1382
116	181	1372
117	182	1364
118	183	1358
119	184	1350
120	184	1343
121	185	1335
122	186	1329
123	187	1322
124	187	1315
125	188	1309
126	189	1302
127	190	1295
128	190	1288
129	191	1282
130	192	1276
131	193	1270
132	194	1264
133	194	1258
134	195	1252
135	196	1246
136	196	1240
137	197	1234
138	198	1229
139	199	1222
140	199	1216
141	200	1209
142	200	1204
143	201	1198
144	202	1193
145	203	1188
146	203	1183
147	204	1177
148	205	1172
149	206	1167
150	206	1162
151	207	1157
152	208	1151
153	208	1147
154	209	1142
155	210	1137
156	211	1132
157	211	1128
158	212	1123
159	213	1118
160	213	1112
161	214	1108
162	214	1103
163	215	1099
164	216	1094
165	216	1089
166	217	1085
167	218	1081
168	219	1077
169	219	1072
170	220	1068
171	221	1064
172	221	1060
173	222	1056
174	223	1053
175	224	1049
176	224	1045
177	225	1041
178	226	1037
179	226	1033
180	227	1030
181	228	1026
182	228	1022
183	229	1018
184	230	1015
185	231	1012
186	231	1008
187	232	1004
188	233	1001
189	234	998
190	234	994
191	235	991
192	236	988
193	237	984
194	238	982
195	238	979
196	239	976
197	240	973
198	241	970
199	241	967
200	242	963
201	243	960
202	243	957
203	244	954
204	245	951
205	246	949
206	246	946
207	247	943
208	248	940
209	249	937
210	249	934
211	250	931
212	251	928
213	252	925
214	252	922
215	253	920
216	254	917
217	255	914
218	255	911
219	256	909
220	257	906
221	257	903
222	258	900
223	259	897
224	259	894
225	260	892
226	261	889
227	261	886
228	262	883
229	263	880
230	263	878
231	264	875
232	265	873
233	266	870
234	266	868
235	267	865
236	268	863
237	268	860
238	269	859
239	270	856
240	271	854
241	271	851
242	272	848
243	273	846
244	273	844
245	274	841
246	275	839
247	276	836
248	276	834
249	277	832
250	278	830
251	278	827
252	279	825
253	280	823
254	281	821
255	281	818
256	282	816
257	283	814
258	283	812
259	284	810
260	285	807
261	286	805
262	286	803
263	287	801
264	287	798
265	288	796
266	289	794
267	290	792
268	290	790
269	291	787
270	292	786
271	292	784
272	293	781
273	294	779
274	295	778
275	295	776
276	296	773
277	297	772
278	297	770
279	298	768
280	299	766
281	300	764
282	301	762
283	301	760
284	302	758
285	303	756
286	303	754
287	304	752
288	305	751
289	306	749
290	306	747
291	307	745
292	308	743
293	308	741
294	309	739
295	310	738
296	311	736
297	311	734
298	312	733
299	313	731
300	314	730
301	315	728
302	316	726
303	316	725
304	317	723
305	318	721
306	318	719
307	319	717
308	320	716
309	321	714
310	321	712
311	322	710
312	323	709
313	323	707
314	324	705
315	325	703
316	325	702
317	326	700
318	327	698
319	327	696
320	328	695
321	329	693
322	330	691
323	330	690
324	331	688
325	332	686
326	332	685
327	333	683
328	334	681
329	334	680
330	335	678
331	336	677
332	337	675
333	337	673
334	338	672
335	339	670
336	340	668
337	340	667
338	341	665
339	342	664
340	343	662
341	343	661
342	344	659
343	345	658
344	345	656
345	346	655
346	347	653
347	348	652
348	349	651
349	349	649
350	350	647
351	351	646
352	351	644
353	352	643
